Site,Range,PinMon,QueChr,GarFla,CeaPau,RhaIli,FraCal,ArcPun,BriCal,RhuAro
T2,NY,0.38,0.332,0.028,0,0,0,0,0,0
T3,NY,0,0.338,0.118,0,0,0,0,0.003,0
T4,NY,0.0474,0.714,0.2006,0.071,0.013,0,0,0,0
T5,NY,0,0.088,0.13,0,0,0.22,0,0.0278,0
T6,NY,0.056,0,0,0,0,0,0,0,0.158
T7,NY,0.262,0,0.121,0.1384,0,0,0.18,0,0.014
T8,NY,0.13,0,0.067,0,0,0.213,0,0,0
T9,SB,0.112,0,0,0.1,0.07,0,0.0672,0,0
T10,SB,0,0,0,0.183,0.051,0,0.04,0,0
T11,SB,0,0,0,0.091,0,0.1944,0,0,0.338
T12,SG,0,0.896,0.35,0,0,0.161,0,0,0
T13,SG,0,0,0.288,0,0.029,0.1404,0,0.075,0
T14,SG,0.024,0,0.334,0.05,0.335,0.038,0.05,0,0
T15,SG,0.7884,0.24,0.201,0.227,0,0,0,0,0
T16,SG,0.722,0.388,0,0.071,0,0,0,0,0
T17,SG,0.095,0.76,0,0.25,0,0,0,0,0
T18,SG,0.107,0.305,0,0,0,0.215,0,0,0
T19,SB,0.185,0.208,0.334,0,0,0.102,0,0,0
T20,SB,0.052,0.46,0,0.2,0,0,0,0,0
T21,SB,0.248,0,0,0.131,0,0,0,0,0
T22,SB,0.109,0.579,0,0,0.101,0,0,0.06,0
T23,CR,0.261,0,0,0,0,0,0,0,0.178
T24,CR,0.178,0,0.368,0,0,0,0,0.125,0.048
T25,CR,0.102,0,0,0,0,0,0,0.132,0.0696
T26,CR,0.309,0,0.301,0,0,0,0,0,0.04
T27,CR,0.049,0,0.283,0,0,0,0,0.000662,0.173
T28,CR,0.109,0,0.06,0,0,0.389,0,0.146,0.106
T29,CR,0.343,0,0.096,0,0,0,0,0,0.086
T30,HP,0.19,0,0,0.132,0,0,0.291,0,0.017
T31,HP,0.186,0,0,0.221,0,0.041,0.072,0.001,0.054
T32,HP,0.361,0,0.112,0.299,0,0,0,0,0
T33,HP,0.324,0,0,0.086,0.068,0,0.198,0,0.085
T34,GM,0,0,0,0,0.08,0,0,0,0
T35,GM,0.194,0.394,0,0,0.078,0,0,0,0
T36,GM,0,0,0,0,0.065,0,0,0,0.086
T37,GM,0.088,0,0,0,0.179,0,0,0,0
T38,GM,0.158,0.52,0,0,0.072,0,0,0.074,0
T39,GM,0,0,0,0,0.072,0,0,0,0.152
T40,HP,0,0,0.147,0.158,0.044,0,0.065,0.004,0.291
T41,HP,0.013,0,0.039,0,0,0,0.054,0.002,0
T42,HP,0.085,0,0.126,0.114,0.086,0,0.016,0.027,0.18
