Site,Long,Lat,Range,H,J,Pctcover,Elev,TPI,Slope,Aspect,AspectN,AspectE,TWI,Isoth,MaxTemp,MinTemp,SumPrecp,WinPrecp,PeakElev,Isolation
T2,-115.2929,35.26875,NY,2.187336,0.756766,1.6778,1737,-6.5,0.1125786,0.95703458,0.817487241,0.575946708,10.987544,3.9,30.3,-2.2,85,109,7500,1
T3,-115.2912,35.26708,NY,2.169503,0.712592,1.412,1761,-8.25,0.15698826,0.3401592,0.333637174,0.942701562,9.18783,3.9,30.3,-2.2,85,109,7500,1
T4,-115.2963,35.26708,NY,1.699965885,0.662767,1.417,1797,3.5,0.21297383,0.7466926,0.679215048,0.733939315,9.934749,3.9,30.3,-2.2,85,109,7500,1
T5,-115.2929,35.27125,NY,1.970166,0.727522,0.9542,1715,-11,0.06899122,6.0909259,-0.191077158,0.98157502,12.91304,3.9,31,1.8,81,102,7500,1
T6,-115.2779,35.27292,NY,2.542574321,0.822562,1.771,1624,-0.125,1.01E-01,1.9855633,0.91521025,-0.402976673,9.977396,3.8,32.1,-0.9,75,90,7500,1
T7,-115.2971,35.24375,NY,2.00692824,0.760471,1.2624,1739,-0.25,0.02170146,4.343208,-0.932623203,-0.360851716,10.100479,3.9,31.1,-1.5,81,102,7500,1
T8,-115.2987,35.24208,NY,1.354610916,0.61651,0.904,1723,-3.25,0.06862913,4.533823,-0.984099413,-0.177618539,11.330075,3.9,31.1,-1.5,81,102,7500,1
T9,-117.2129,34.29708,SB,2.448833611,0.831681,2.0168,1457,0.375,0.03810446,1.7496671,0.98404523,-0.177918477,10.963846,4.7,30.6,-2.7,39,386,10000,0
T10,-117.2137,34.29708,SB,2.45499244,0.849369,1.325,1460,0,0.05419794,1.6961499,0.992153524,-0.12502554,9.056562,4.7,30.6,-2.7,39,386,10000,0
T11,-117.1962,34.31625,SB,2.337269677,0.793791,2.5224,1351,-5.625,0.177051639,5.9583729,-0.319131008,0.94771061,8.158858,4.6,31.5,-2.2,37,337,10000,0
T12,-117.7712,34.38208,SG,2.078491,0.705904,2.379,1772,-4.75,0.23665406,0.38153571,0.372346191,0.928093914,10.273435,4.5,26.6,-3.9,42,397,9300,0
T13,-117.7729,34.38625,SG,2.480304,0.814678,2.4216,1707,-16.625,0.11306464,6.15340463,-0.129416667,0.991590302,12.311969,4.5,27.8,-3.2,39,404,9300,0
T14,-117.7837,34.39208,SG,2.555565,0.826765,1.7872,1590,-11.25,0.19579184,3.807145,-0.617493689,-0.786575835,10.01562,4.5,28.8,-2.6,34,395,9300,0
T15,-117.7621,34.39625,SG,1.950419,0.674799,1.9256,1975,8.625,0.04832442,2.5708478,0.540258992,-0.841498795,6.085279,4.5,26.8,-3.8,41,394,9300,0
T16,-117.7237,34.40292,SG,1.057139,0.590001,1.252,1897,6.75,0.10772554,1.211912,0.936289264,0.351229859,5.95926,4.5,27.9,-3.4,38,393,9300,0
T17,-117.6679,34.38625,SG,1.825919,0.792987,1.6474,2094,-16,0.2718564,4.476622,-0.972335469,-0.233588816,7.922919,4.6,25.5,-4.7,48,366,9300,0
T18,-117.7179,34.39708,SG,1.876849,0.854191,1.099,1755,-5.25,0.27889675,0.3674839,0.359268461,0.933234254,11.443837,4.5,27.2,-3.7,41,394,9300,0
T19,-116.8521,34.18292,SB,2.017992,0.786757,1.699,1832,-9.25,0.13397464,3.23E+00,-0.088292228,-0.996094615,13.770109,4.9,27.8,-5.4,43,318,10000,0
T20,-116.7871,34.16375,SB,1.785958,0.696294,1.118,2104,-2.25,0.09364132,3.8842691,-0.676261966,-0.73666122,9.984003,4.8,26.6,-6.1,52,304,10000,0
T21,-116.6929,34.24125,SB,1.880539,0.784246,1.1192,2110,-2.875,0.15590631,3.535385,-0.383693248,-0.923460606,9.012091,4.8,27,-5.9,55,279,10000,0
T22,-116.8312,34.33125,SB,2.278071,0.760439,1.7148,1700,-8.125,0.4255679,0.9140566,0.791986958,0.610538008,6.761806,4.8,29,-4.7,40,291,10000,0
T23,-115.5779,35.51625,CR,2.11689,0.802139,1.8276,1885,-5.625,0.26341,2.257277,0.773481417,-0.633818979,8.225489,4,30.1,-3.5,79,106,8000,1
T24,-115.5846,35.51958,CR,2.151326,0.794419,1.2524,1991,-18.5,0.3758565,1.51576607,0.998486217,0.055002486,8.812102,4,28.9,-4.2,84,121,8000,1
T25,-115.5771,35.51208,CR,2.42417,0.823304,1.1448,1867,-9.5,0.30233341,1.0669665,0.875740014,0.482783004,8.387278,4,30.1,-3.5,79,106,8000,1
T26,-115.5912,35.54458,CR,2.027018,0.715449,1.503,1714,-5.875,0.24477555,0.672847434,0.623215347,0.782050274,10.45773,4,30.3,-3.4,77,103,8000,1
T27,-115.5979,35.55792,CR,2.291129,0.752541,1.5098,1555,3.25,0.29789251,0.8982437,0.782233968,0.622984766,7.118149,3.9,32.8,-2.3,64,77,8000,1
T28,-115.6054,35.51958,CR,2.11179,0.800206,1.241,1762,-18.375,0.25122812,3.186762,-0.045153988,-0.998980039,9.07972,3.9,31.6,-2.8,71,89,8000,1
T29,-115.5954,35.55375,CR,2.495367,0.80729,1.337,1587,-3.375,0.11356767,0.16041849,0.159731337,0.987160524,10.765274,3.9,32.8,-2.3,64,77,8000,1
T30,-113.9121,35.12208,HP,1.870916,0.752912,1.604,1634,-2.125,0.118383193,5.76116309,-0.49863404,0.866812606,12.025438,4.3,31.2,-2.6,97,98,8500,0
T31,-113.9162,35.12625,HP,2.198673,0.70122,1.367,1596,-3,0.10174258,1.0260522,0.855259912,0.518199269,11.001223,4.3,32.1,-2.1,88,89,8500,0
T32,-113.9029,35.11542,HP,2.112462,0.761909,1.339,1727,-5.5,0.24036141,4.247514243,-0.893877729,-0.448310836,9.360813,4.3,30.6,-3,103,104,8500,0
T33,-113.9087,35.12125,HP,2.045723,0.707772,1.551,1661,0,0.109141,4.988233,-0.962195664,0.272359146,10.78435,4.3,31.2,-2.6,97,98,8500,0
T34,-115.6629,34.78458,GM,2.148312,0.864544,0.711,1350,-1.875,0.10244392,2.03605,0.893707784,-0.448649526,9.176524,3.8,34.8,1.9,61,83,7000,1
T35,-115.6871,34.80708,GM,2.200763,0.761412,1.9876,1502,-22.125,0.140905,0.53409919,0.509065894,0.86072755,11.279557,3.9,32.9,0.3,69,103,7000,1
T36,-115.6621,34.78625,GM,2.223422,0.80193,1.09,1343,-5.625,0.07496955,1.921071,0.939278493,-0.343155815,11.079769,3.8,33.9,1.3,64,92,7000,1
T37,-115.6612,34.78625,GM,1.992102,0.865159,0.642,1338,-5,0.08847429,2.190905,0.813815309,-0.581123604,10.618293,3.8,33.9,1.3,64,92,7000,1
T38,-115.6329,34.80875,GM,2.159986,0.747304,1.314,1278,-14,0.45506951,0.59855868,0.563452315,0.826148588,8.593604,3.9,33.1,0.8,68,99,7000,1
T39,-115.6187,34.81292,GM,2.027253,0.84543,0.634,1198,-1.25,0.028211522,5.863887,-0.407119645,0.913374838,10.120819,3.8,35.6,2.4,57,74,7000,1
T40,-113.8637,35.06875,HP,2.228128,0.756724,1.5714,1837,0.375,0.17986313,1.66044404,0.995984334,-0.089527683,9.825007,4.4,30,-3.4,113,113,8500,0
T41,-113.8804,35.06542,HP,1.886241,0.652595,1.123,1982,0.125,0.12669325,2.0108651,0.904722368,-0.426001687,11.680299,4.4,28.2,-4.3,129,134,8500,0
T42,-113.8621,35.09708,HP,2.251751,0.708532,1.517,1774,-1.875,0.133988108,2.559462762,0.549804267,-0.835293522,12.388023,4.4,30.4,-3.2,109,108,8500,0
